[2024-10-14 21:09:38] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-14 21:09:38] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-10-14 21:09:38] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-10-14 21:09:38] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-10-14 21:09:38] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-10-14 21:09:38] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-10-14 21:09:41] [class-ss-setup-task.php:33] Creating archive directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1728940178/
[2024-10-14 21:09:41] [class-ss-setup-task.php:72] Adding origin URL to queue: http://matrimony.local/
[2024-10-14 21:09:41] [class-ss-setup-task.php:124] Adding files from directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-712x1024.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-712x1024.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1365x2048.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1365x2048.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866-864x1536.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866-864x1536.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1024x1536.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1024x1536.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-300x169.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-300x169.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-200x300.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-200x300.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Divider.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Divider.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-150x150.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-683x1024.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-683x1024.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-150x150.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-150x150.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-150x150.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-768x1152.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-768x1152.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-scaled.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-scaled.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Frame-1-top.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Frame-1-top.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866-150x150.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Border.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Border.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866-169x300.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866-169x300.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-1068x1536.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-1068x1536.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-1024x576.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-1024x576.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Frame-1-bottom-1.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Frame-1-bottom-1.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-209x300.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-209x300.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-150x150.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-150x150.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-1536x864.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-1536x864.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Monogram.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Monogram.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Leaves.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Leaves.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866-768x1365.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866-768x1365.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-300x300.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-300x300.jpg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-top.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-top.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866-576x1024.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866-576x1024.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Frame-1-bottom.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Frame-1-bottom.svg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-768x432.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-768x432.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara.mp3 to queue as: http://matrimony.local/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara.mp3
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Dropcap-d.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Dropcap-d.svg
