[2024-10-13 11:56:14] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-13 11:56:14] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-10-13 11:56:14] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-10-13 11:56:15] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-10-13 11:56:15] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-10-13 11:56:15] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-10-13 11:56:15] [class-ss-setup-task.php:33] Creating archive directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1728820574/
[2024-10-13 11:56:15] [class-ss-setup-task.php:72] Adding origin URL to queue: http://matrimony.local/
[2024-10-13 11:56:15] [class-ss-setup-task.php:124] Adding files from directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-logotype-1307x1536.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-logotype-1307x1536.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/arrow-diagonal-down-right.svg to queue as: http://matrimony.local/wp-content/uploads/2023/02/arrow-diagonal-down-right.svg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/rifqimd..png to queue as: http://matrimony.local/wp-content/uploads/2023/02/rifqimd..png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-150x150.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-150x150.jpeg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-logotype.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-logotype.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-square-Small-150x150.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-square-Small-150x150.jpeg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-logotype-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-logotype-150x150.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small.jpeg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-logotype-768x903.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-logotype-768x903.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-180x180.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-180x180.jpeg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-rifqimd.-150x93.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-rifqimd.-150x93.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-square-Small.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-square-Small.jpeg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-logotype-1742x2048.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-logotype-1742x2048.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/rifqimd.-300x80.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/rifqimd.-300x80.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-logotype-255x300.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-logotype-255x300.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/rifqimd.-150x93.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/rifqimd.-150x93.png
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-300x300.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-300x300.jpeg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-32x32.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-32x32.jpeg
[2024-10-13 11:56:15] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-square-Small-300x300.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-square-Small-300x300.jpeg
